"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","Batting Style","Bowling Style","ImageUrl"
"1059570","Ajay Mandal","AJ Mandal","1996-2-25","CSK","India","false","all-rounder","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/314900/314902.jpg"
"1060380","Ruturaj Gaikwad","RD Gaikwad","1997-1-31","CSK","India","true","batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/322200/322236.1.png"
"1125688","Mukesh Chowdhary","Mukesh Choudhary","1996-7-6","CSK","India","false","bowler","left-hand bat","left-arm medium","/db/PICTURES/CMS/356800/356834.1.png"
"1138316","Maheesh Theekshana","M Theekshana","2000-8-1","CSK","Sri Lanka","true","bowler","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/347800/347825.1.png"
"1159722","Simarjeet Singh","Simarjeet Singh","1998-1-17","CSK","India","false","bowler","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/356800/356835.1.png"
"1175429","Rajvardhan Hangargekar","RS Hangargekar","2002-11-10","CSK","India","false","all-rounder","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/339100/339157.1.png"
"1175489","Sameer Rizvi","Sameer Rizvi","2003-12-6","CSK","India","false","batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/378000/378091.1.png"
"1194795","Matheesha Pathirana","M Pathirana","2002-12-18","CSK","Sri Lanka","true","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/355400/355402.1.png"
"1252337","Prashant Solanki","PH Solanki","2000-2-22","CSK","India","false","bowler","right-hand bat","legbreak","/db/PICTURES/CMS/356800/356836.1.png"
"1292497","Shaik Rasheed","SK Rasheed","2004-9-24","CSK","India","false","batsman","right-hand bat","legbreak","/db/PICTURES/CMS/345000/345086.1.png"
"1292506","Nishant Sindhu","N Sindhu","2004-4-9","CSK","India","false","all-rounder","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/345000/345097.1.png"
"1408675","Aravelly Avanish","Aravelly Avanish","2005-6-2","CSK","India","false","wk/batsman","left-hand bat","","/db/PICTURES/CMS/384200/384255.1.png"
"234675","Ravindra Jadeja","RA Jadeja","1988-12-6","CSK","India","true","all-rounder","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/316600/316600.2.png"
"277916","Ajinkya Rahane","AM Rahane","1988-6-6","CSK","India","true","batsman","right-hand bat","right-arm medium","/db/PICTURES/CMS/316600/316620.3.png"
"28081","MS Dhoni","MS Dhoni","1981-7-7","CSK","India","true","wk/batsman","right-hand bat","right-arm medium","/db/PICTURES/CMS/319900/319946.3.png"
"330902","Mustafizur Rahman","Mustafizur Rahman","1995-9-6","CSK","Bangladesh","true","bowler","left-hand bat","left-arm fast-medium","/db/PICTURES/CMS/319700/319734.3.png"
"379140","Devon Conway","DP Conway","1991-7-8","CSK","New Zealand","true","batsman","left-hand bat","right-arm medium","/db/PICTURES/CMS/383100/383148.1.png"
"381743","Daryl Mitchell","DJ Mitchell","1991-5-20","CSK","New Zealand","true","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/383100/383147.2.png"
"447261","Deepak Chahar","DL Chahar","1992-8-7","CSK","India","true","bowler","right-hand bat","right-arm medium","/db/PICTURES/CMS/322700/322704.1.png"
"475281","Shardul Thakur","SN Thakur","1991-10-16","CSK","India","true","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/322600/322696.1.png"
"502714","Mitchell Santner","MJ Santner","1992-2-5","CSK","New Zealand","true","all-rounder","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/383100/383180.1.png"
"714451","Shivam Dube","S Dube","1993-6-26","CSK","India","true","all-rounder","left-hand bat","right-arm medium","/db/PICTURES/CMS/383700/383773.1.png"
"822553","Tushar Deshpande","TU Deshpande","1995-5-15","CSK","India","true","bowler","left-hand bat","right-arm medium","/db/PICTURES/CMS/386300/386339.5.png"
"8917","Moeen Ali","MM Ali","1987-6-18","CSK","England","true","all-rounder","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/383100/383142.1.png"
"959767","Rachin Ravindra","R Ravindra","1999-11-18","CSK","New Zealand","true","all-rounder","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/383100/383182.1.png"
