"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","Batting Style","Bowling Style","ImageUrl"
"1048739","R Sai Kishore","R Sai Kishore","1996-11-6","GT","India","true","bowler","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/362500/362558.6.png"
"1070173","Shubman Gill","Shubman Gill","1999-9-8","GT","India","true","batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/322600/322697.1.png"
"1111917","Darshan Nalkande","DG Nalkande","1998-10-4","GT","India","false","all-rounder","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/357400/357411.3.png"
"1122918","Kartik Tyagi","Kartik Tyagi","2000-11-8","AHM","India","false","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/339100/339150.1.png"
"1123718","Spencer Johnson","SH Johnson","1995-12-16","AHM","Australia","true","bowler","left-hand bat","left-arm fast","/db/PICTURES/CMS/374500/374591.1.png"
"1151288","Sai Sudharsan","B Sai Sudharsan","2001-10-15","GT","India","true","all-rounder","left-hand bat","legbreak","/db/PICTURES/CMS/361800/361891.1.png"
"1175426","Manav Suthar","MJ Suthar","2002-8-3","AHM","India","false","bowler","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/286100/286141.1.jpg"
"1175457","Sushant Mishra","SS Mishra","2000-12-23","AHM","India","false","bowler","left-hand bat","left-arm medium-fast",""
"1182529","Noor Ahmad","Noor Ahmad","2005-1-3","GT","Afghanistan","true","bowler","right-hand bat","left-arm wrist-spin","/db/PICTURES/CMS/383200/383239.1.png"
"1350762","Robin Minz","R Minz","2002-9-13","AHM","India","false","wk/batsman","left-hand bat","slow left-arm orthodox",""
"230193","Matthew Wade","MS Wade","1987-12-26","GT","Australia","true","wk/batsman","left-hand bat","right-arm medium","/db/PICTURES/CMS/316500/316594.1.png"
"277906","Kane Williamson","KS Williamson","1990-8-8","GT","New Zealand","true","batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/383100/383172.1.png"
"279810","Wriddhiman Saha","WP Saha","1984-10-24","GT","India","true","wk/batsman","right-hand bat","","/db/PICTURES/CMS/323000/323033.1.png"
"321777","David Miller","DA Miller","1989-6-10","GT","South Africa","true","batsman","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/316600/316655.1.png"
"376116","Umesh Yadav","UT Yadav","1987-10-25","AHM","India","true","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/316600/316667.2.png"
"423838","Rahul Tewatia","R Tewatia","1993-5-20","GT","India","false","all-rounder","left-hand bat","legbreak","/db/PICTURES/CMS/322200/322269.1.png"
"447587","Jayant Yadav","J Yadav","1990-1-22","GT","India","true","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/322500/322553.1.png"
"477021","Vijay Shankar","V Shankar","1991-1-26","GT","India","true","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/322600/322613.1.png"
"481896","Mohammed Shami","Mohammed Shami","1990-9-3","GT","India","true","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/386300/386326.4.png"
"537119","Mohit Sharma","MM Sharma","1988-9-18","GT","India","true","bowler","right-hand bat","right-arm medium","/db/PICTURES/CMS/316700/316702.2.png"
"719719","M Shahrukh Khan","M Shahrukh Khan","1995-5-27","AHM","India","false","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/359700/359756.1.png"
"778963","Abhinav Manohar","A Manohar","1994-9-16","GT","India","false","batsman","right-hand bat","legbreak googly",""
"793463","Rashid Khan","Rashid Khan","1998-9-20","GT","Afghanistan","true","bowler","right-hand bat","legbreak googly","/db/PICTURES/CMS/383200/383228.1.png"
"819429","Azmatullah Omarzai","Azmatullah Omarzai","2000-3-24","AHM","Afghanistan","true","all-rounder","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/383200/383229.1.png"
"928067","Josh Little","JB Little","1999-11-1","GT","Ireland","true","bowler","right-hand bat","left-arm fast-medium","/db/PICTURES/CMS/367800/367860.1.png"
