"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","Batting Style","Bowling Style","ImageUrl"
"1070196","Yash Thakur","Yash Thakur","1998-12-28","LSG","India","false","bowler","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/356700/356790.1.png"
"1079848","Shivam Mavi","Shivam Mavi","1998-11-26","LSG","India","true","bowler","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/341000/341042.1.png"
"1119026","Devdutt Padikkal","D Padikkal","2000-7-7","LSG","India","true","batsman","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/322200/322229.1.png"
"1132005","Mohsin Khan","Mohsin Khan","1998-7-15","LSG","India","false","bowler","left-hand bat","left-arm medium-fast","/db/PICTURES/CMS/386300/386359.5.png"
"1151270","Ayush Badoni","A Badoni","1999-12-3","LSG","India","false","all-rounder","right-hand bat","right-arm offbreak",""
"1151286","Manimaran Sidharth","M Siddharth","1998-7-3","LSG","India","false","bowler","right-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/330900/330975.4.jpg"
"1175441","Ravi Bishnoi","Ravi Bishnoi","2000-9-5","LSG","India","true","bowler","right-hand bat","legbreak googly","/db/PICTURES/CMS/337100/337188.1.png"
"1206052","Yudhvir Singh","Yudhvir Singh","1997-9-13","LSG","India","false","all-rounder","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/314700/314789.jpg"
"1244751","Arshad Khan","Arshad Khan","1997-12-20","LSG","India","false","all-rounder","left-hand bat","left-arm medium","/db/PICTURES/CMS/378100/378129.1.png"
"1292563","Mayank Yadav","MP Yadav","2002-6-17","LSG","India","true","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/373900/373904.1.png"
"1403153","Arshin Kulkarni","AA Kulkarni","2005-2-15","LSG","India","false","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/387900/387916.5.png"
"308251","David Willey","DJ Willey","1990-2-28","LSG","England","true","all-rounder","left-hand bat","left-arm fast-medium","/db/PICTURES/CMS/322900/322904.1.png"
"31107","Amit Mishra","A Mishra","1982-11-24","LSG","India","true","bowler","right-hand bat","legbreak","/db/PICTURES/CMS/323000/323053.1.png"
"325012","Marcus Stoinis","MP Stoinis","1989-8-16","LSG","Australia","true","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/321500/321596.2.png"
"348056","Kyle Mayers","KR Mayers","1992-9-8","LSG","West Indies","true","all-rounder","left-hand bat","right-arm medium","/db/PICTURES/CMS/322000/322024.1.png"
"351588","Mark Wood","MA Wood","1990-1-11","LSG","England","true","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/383100/383149.2.png"
"379143","Quinton de Kock","Q de Kock","1992-12-17","LSG","South Africa","true","wk/batsman","left-hand bat","","/db/PICTURES/CMS/316600/316668.1.png"
"422108","KL Rahul","KL Rahul","1992-4-18","LSG","India","true","wk/batsman","right-hand bat","","/db/PICTURES/CMS/319900/319942.3.png"
"424377","K Gowtham","K Gowtham","1988-10-20","LSG","India","true","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/356800/356850.1.png"
"471342","Krunal Pandya","KH Pandya","1991-3-24","LSG","India","true","all-rounder","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/322600/322614.1.png"
"497121","Deepak Hooda","DJ Hooda","1995-4-19","LSG","India","true","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/345000/345083.1.png"
"500268","Ashton Turner","AJ Turner","1993-1-25","LSG","Australia","true","batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/321500/321560.1.png"
"604302","Nicholas Pooran","N Pooran","1995-10-2","LSG","West Indies","true","wk/batsman","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/320100/320109.2.png"
"793447","Naveen-ul-Haq","Naveen-ul-Haq","1999-9-23","LSG","Afghanistan","true","bowler","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/383200/383238.1.png"
"956871","Prerak Mankad","PN Mankad","1994-4-23","LSG","India","false","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/378100/378128.1.png"
