"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","Batting Style","Bowling Style","ImageUrl"
"1070665","Dewald Brevis","D Brevis","2003-4-29","MI","South Africa","true","batsman","right-hand bat","legbreak","/db/PICTURES/CMS/335100/335134.1.png"
"1131607","Shams Mulani","SZ Mulani","1997-3-13","MI","India","false","all-rounder","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/381300/381390.1.png"
"1148776","Arjun Tendulkar","AS Tendulkar","1999-9-24","MI","India","false","all-rounder","left-hand bat","left-arm medium-fast","/db/PICTURES/CMS/359700/359770.1.png"
"1151273","Nehal Wadhera","N Wadhera","2000-9-4","MI","India","false","all-rounder","left-hand bat","legbreak","/db/PICTURES/CMS/381300/381388.1.png"
"1159843","Kumar Kartikeya","K Kartikeya","1997-12-26","MI","India","false","bowler","right-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/359700/359773.1.png"
"1167965","Shivalik Sharma","SS Sharma","1998-11-28","MI","India","false","all-rounder","left-hand bat","legbreak googly","/db/PICTURES/CMS/381300/381385.1.png"
"1170265","Tilak Varma","NT Tilak Varma","2002-11-8","MI","India","true","all-rounder","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/381300/381391.1.png"
"1175428","Anshul Kamboj","A Kamboj","2000-12-6","MI","India","false","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/381300/381389.1.png"
"1206039","Akash Madhwal","A Madhwal","1993-11-25","MI","India","false","bowler","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/381300/381394.1.png"
"1287032","Naman Dhir","Naman Dhir","1999-12-31","MI","India","false","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/381300/381384.1.png"
"25913","Mohammad Nabi","Mohammad Nabi","1985-1-1","MI","Afghanistan","true","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/381900/381920.2.png"
"272477","Jason Behrendorff","JP Behrendorff","1990-4-20","MI","Australia","true","bowler","right-hand bat","left-arm fast-medium","/db/PICTURES/CMS/321500/321589.2.png"
"32966","Piyush Chawla","PP Chawla","1988-12-24","MI","India","true","bowler","left-hand bat","legbreak","/db/PICTURES/CMS/322200/322272.1.png"
"34102","Rohit Sharma","RG Sharma","1987-4-30","MI","India","true","batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/385800/385819.2.png"
"344580","Shreyas Gopal","S Gopal","1993-9-4","MI","India","false","bowler","right-hand bat","legbreak","/db/PICTURES/CMS/322200/322275.1.png"
"446507","Suryakumar Yadav","SA Yadav","1990-9-14","MI","India","true","batsman","right-hand bat","right-arm medium","/db/PICTURES/CMS/331100/331163.1.png"
"596010","Gerald Coetzee","G Coetzee","2000-10-2","MI","South Africa","true","all-rounder","right-hand bat","right-arm fast","/db/PICTURES/CMS/348500/348579.1.png"
"625371","Hardik Pandya","HH Pandya","1993-10-11","MI","India","true","all-rounder","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/388300/388343.5.png"
"625383","Jasprit Bumrah","JJ Bumrah","1993-12-6","MI","India","true","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/319900/319940.2.png"
"677077","Romario Shepherd","R Shepherd","1994-11-26","MI","West Indies","true","all-rounder","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/322000/322037.1.png"
"720471","Ishan Kishan","Ishan Kishan","1998-7-18","MI","India","true","wk/batsman","left-hand bat","legbreak","/db/PICTURES/CMS/331100/331165.1.png"
"732293","Vishnu Vinod","Vishnu Vinod","1993-12-2","MI","India","false","wk/batsman","right-hand bat","","/db/PICTURES/CMS/359700/359774.1.png"
"793007","Dilshan Madushanka","D Madushanka","2000-9-18","MI","Sri Lanka","true","bowler","right-hand bat","left-arm fast-medium","/db/PICTURES/CMS/348600/348600.1.png"
"892749","Tim David","TH David","1996-3-16","MI","Australia","true","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/340300/340305.1.png"
"955235","Nuwan Thushara","N Thushara","1994-8-6","MI","Sri Lanka","true","bowler","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/381300/381395.7.png"
