"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","Batting Style","Bowling Style","ImageUrl"
"1079434","Riyan Parag","R Parag","2001-11-10","RR","India","true","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/370900/370935.1.png"
"1151278","Yashasvi Jaiswal","YBK Jaiswal","2001-12-28","RR","India","true","all-rounder","left-hand bat","legbreak","/db/PICTURES/CMS/340300/340309.1.png"
"1163695","Kuldeep Sen","KR Sen","1996-10-22","RR","India","true","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/378100/378133.1.png"
"1175488","Dhruv Jurel","DC Jurel","2001-1-21","RR","India","true","wk/batsman","right-hand bat","","/db/PICTURES/CMS/340300/340310.1.png"
"1201536","Abid Mushtaq","Abid Mushtaq","1997-1-17","RR","India","false","all-rounder","left-hand bat","slow left-arm orthodox",""
"1252585","Shubham Dubey","SB Dubey","1994-8-27","RR","India","false","batsman","left-hand bat","right-arm offbreak",""
"1339031","Kunal Singh Rathore","KS Rathore","2002-10-9","RR","India","false","wk/batsman","left-hand bat","",""
"26421","R Ashwin","R Ashwin","1986-9-17","RR","India","true","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/316500/316521.2.png"
"277912","Trent Boult","TA Boult","1989-7-22","RR","New Zealand","true","bowler","right-hand bat","left-arm fast-medium","/db/PICTURES/CMS/383100/383185.1.png"
"308967","Jos Buttler","JC Buttler","1990-9-8","RR","England","true","wk/batsman","right-hand bat","","/db/PICTURES/CMS/383100/383143.1.png"
"379504","Adam Zampa","A Zampa","1992-3-31","RR","Australia","true","bowler","right-hand bat","legbreak googly","/db/PICTURES/CMS/321500/321549.1.png"
"425943","Sanju Samson","SV Samson","1994-11-11","RR","India","true","wk/batsman","right-hand bat","","/db/PICTURES/CMS/322700/322701.1.png"
"430246","Yuzvendra Chahal","YS Chahal","1990-7-23","RR","India","true","bowler","right-hand bat","legbreak googly","/db/PICTURES/CMS/319900/319955.1.png"
"438362","Sandeep Sharma","Sandeep Sharma","1993-5-18","RR","India","true","bowler","right-hand bat","right-arm medium","/db/PICTURES/CMS/323000/323055.1.png"
"470633","Tom Kohler-Cadmore","T Kohler-Cadmore","1994-8-19","RR","England","false","wk/batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/325900/325917.1.png"
"670025","Shimron Hetmyer","SO Hetmyer","1996-12-26","RR","West Indies","true","batsman","left-hand bat","","/db/PICTURES/CMS/320100/320116.1.png"
"694211","Avesh Khan","Avesh Khan","1996-12-13","RR","India","true","bowler","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/322200/322244.1.png"
"698315","Donovan Ferreira","D Ferreira","1998-7-21","RR","South Africa","true","wk/batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/356800/356889.1.png"
"700167","Navdeep Saini","NA Saini","1992-11-23","RR","India","true","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/322700/322702.1.png"
"820351","Rovman Powell","R Powell","1993-7-23","RR","West Indies","true","batsman","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/322100/322172.1.png"
"917159","Prasidh Krishna","M Prasidh Krishna","1996-2-19","RR","India","true","bowler","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/389500/389549.5.png"
"971349","Nandre Burger","N Burger","1995-8-11","RR","South Africa","true","bowler","left-hand bat","left-arm fast-medium","/db/PICTURES/CMS/388400/388421.5.png"
