"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","Batting Style","Bowling Style","ImageUrl"
"1059577","Subhranshu Senapati","SP Senapati","1996-12-30","","India","false","batsman","right-hand bat","right-arm medium","/db/PICTURES/CMS/356800/356837.1.png"
"1060363","Lalit Yadav","Lalit Yadav","1995-12-17","","India","false","bowler","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/253000/253033.1.jpg"
"1070188","Kamlesh Nagarkoti","KL Nagarkoti","1999-12-28","","India","false","all-rounder","right-hand bat","right-arm fast","/db/PICTURES/CMS/339100/339149.1.png"
"1070194","Shiva Singh","Shiva Singh","1999-10-16","","India","false","bowler","right-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/271800/271891.jpg"
"1070195","Harvik Desai","HM Desai","1999-10-4","","India","false","wk/batsman","right-hand bat","","/db/PICTURES/CMS/381300/381382.1.png"
"1076473","Izharulhaq Naveed","Izharulhaq Naveed","2003-11-10","","Afghanistan","false","bowler","right-hand bat","legbreak","/db/PICTURES/CMS/341000/341062.6.png"
"1078692","Alick Athanaze","A Athanaze","1998-12-7","","West Indies","true","batsman","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/373800/373898.1.png"
"1079377","Ravi Teja","T Ravi Teja","1994-10-19","","India","false","all-rounder","left-hand bat","right-arm medium","/db/PICTURES/CMS/314700/314793.jpg"
"1079382","Rohan Kunnummal","RS Kunnummal","1998-5-10","","India","false","batsman","right-hand bat","right-arm bowler",""
"1079560","Sairaj Patil","SB Patil","1996-10-31","","India","false","all-rounder","right-hand bat","right-arm medium",""
"1079668","Shubham Agarwal","SS Agarwal","1993-11-21","","India","false","bowler","right-hand bat","legbreak googly","/db/PICTURES/CMS/314900/314916.jpg"
"1079841","Akash Sengupta","AA Sengupta","2000-10-26","","India","false","all-rounder","right-hand bat","right-arm medium",""
"1081220","Sahil Dhiwan","S Dhiwan","1997-7-3","","India","false","all-rounder","right-hand bat","right-arm medium",""
"1081437","Utkarsh Singh","Utkarsh Singh","1998-5-7","","India","false","all-rounder","left-hand bat","right-arm offbreak",""
"1083030","KM Asif","KM Asif","1993-7-24","","India","false","bowler","right-hand bat","right-arm medium","/db/PICTURES/CMS/356800/356800.1.png"
"1083033","Kulwant Khejroliya","K Khejroliya","1992-3-13","","India","false","bowler","left-hand bat","left-arm medium-fast","/db/PICTURES/CMS/358000/358043.1.png"
"1083493","Rohit Rayudu","K Rohit Rayudu","1994-7-29","","India","false","all-rounder","left-hand bat","right-arm offbreak",""
"1106121","Jasmer Dhankhar","Jasmer Dhankhar","1998-10-16","","India","false","bowler","right-hand bat","",""
"1108328","Pradosh Ranjan Paul","P Ranjan Paul","2000-12-21","","India","false","all-rounder","left-hand bat","","/db/PICTURES/CMS/362300/362333.6.png"
"1108490","Waqar Salamkheil","Waqar Salamkheil","2001-10-2","","Afghanistan","true","bowler","right-hand bat","left-arm wrist-spin","/db/PICTURES/CMS/326100/326131.1.png"
"1119008","Shubhang Hegde","S Hegde","2001-3-30","","India","false","all-rounder","left-hand bat","slow left-arm orthodox",""
"1121579","Prithvi Raj","Y Prithvi Raj","1998-2-20","","India","false","bowler","left-hand bat","left-arm medium",""
"1125317","Lance Morris","LR Morris","1998-3-28","","Australia","true","bowler","right-hand bat","right-arm fast","/db/PICTURES/CMS/384200/384248.1.png"
"1125960","Tanush Kotian","TK Kotian","1998-10-16","","India","false","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/389900/389934.1.png"
"1126213","Ninad Rathva","NA Rathva","1999-3-10","","India","false","all-rounder","left-hand bat","slow left-arm orthodox",""
"1126969","Shubham Kapse","SV Kapse","1994-7-22","","India","false","bowler","right-hand bat","right-arm medium",""
"1130301","Pankaj Yadav","PC Yadav","2002-10-7","","India","false","bowler","right-hand bat","legbreak googly","/db/PICTURES/CMS/271800/271890.jpg"
"1131570","Urvil Patel","UM Patel","1998-10-17","","India","false","wk/batsman","right-hand bat","",""
"1131619","Sudhesan Midhun","S Midhun","1994-10-7","","India","false","bowler","right-hand bat","legbreak googly","/db/PICTURES/CMS/271900/271945.1.jpg"
"1135340","Mukhtar Hussain","Mukhtar Hussain","1999-1-11","","India","false","bowler","right-hand bat","right-arm medium",""
"1155401","Abhilash Shetty","Abhilash Shetty","1998-6-6","","India","false","bowler","left-hand bat","left-arm medium",""
"1167306","Arpit Guleria","AN Guleria","1997-4-26","","India","false","bowler","right-hand bat","right-arm medium","/db/PICTURES/CMS/315100/315165.jpg"
"1167982","Bhupen Lalwani","BB Lalwani","1999-4-7","","India","false","batsman","right-hand bat","right-arm offbreak",""
"1168049","Jake Fraser-McGurk","J Fraser-McGurk","2002-4-11","","Australia","true","all-rounder","right-hand bat","legbreak googly","/db/PICTURES/CMS/387500/387523.6.png"
"1168733","Ankit Kumar","Ankit Kumar","1997-11-1","","India","false","batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/283600/283683.1.jpg"
"1171647","Avneesh Sudha","Avneesh Sudha","2001-11-20","","India","false","wk/batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/340700/340728.png"
"1175423","Hrithik Shokeen","HR Shokeen","2000-8-14","","India","false","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/359700/359772.1.png"
"1175442","Azim Kazi","AN Kazi","1993-10-14","","India","false","batsman","left-hand bat","slow left-arm orthodox",""
"1175456","Priyansh Arya","P Arya","2001-1-18","","India","false","batsman","left-hand bat","right-arm offbreak",""
"1175467","Atharva Ankolekar","AV Ankolekar","2000-9-26","","India","false","all-rounder","left-hand bat","slow left-arm orthodox",""
"1175484","Mujtaba Yousuf","Mujtaba Yousuf","2002-6-7","","India","false","bowler","left-hand bat","left-arm medium-fast",""
"1175490","Shivam Sharma","Shivam Sharma","1995-11-14","","India","false","bowler","right-hand bat","slow left-arm orthodox",""
"1197713","M Venkatesh","M Venkatesh","2000-4-12","","India","false","bowler","left-hand bat","right-arm medium",""
"1197718","LR Chethan","LR Chethan","2000-5-25","","India","false","wk/batsman","right-hand bat","","/db/PICTURES/CMS/345400/345432.png"
"1201537","Abhimanyusingh Rajput","AV Rajput","1998-5-9","","India","false","all-rounder","right-hand bat","right-arm medium-fast",""
"1206492","Saurabh Dubey","SR Dubey","1998-1-23","","India","false","bowler","right-hand bat","left-arm medium-fast",""
"1206495","Kuldip Yadav","K Yadav","1996-10-15","","India","false","bowler","left-hand bat","left-arm fast-medium",""
"1209126","Ashwani Kumar","Ashwani Kumar","2001-8-29","","India","false","bowler","left-hand bat","left-arm medium",""
"1209159","Arslan Khan","Arslan Khan","1999-9-15","","India","false","all-rounder","left-hand bat","",""
"1209190","Matthew Forde","MW Forde","2002-4-29","","West Indies","true","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/389000/389047.5.png"
"1209347","Jitender Pal","JC Pal","1999-12-20","","India","false","all-rounder","right-hand bat","right-arm medium",""
"1211699","Sudip Kumar Gharami","SK Gharami","1999-3-21","","India","false","batsman","right-hand bat","right-arm offbreak",""
"1211825","William O'Rourke","W O'Rourke","2001-8-6","","New Zealand","true","bowler","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/387600/387602.4.png"
"1212693","Rahul Buddhi","RR Buddhi","1997-9-20","","India","false","all-rounder","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/314700/314798.jpg"
"1212758","Atal Bihari Rai","A Bihari Rai","1999-8-5","","India","false","all-rounder","right-hand bat","right-arm medium",""
"1216134","Anikethreddy","G Anikethreddy","2000-10-28","","India","false","all-rounder","right-hand bat","slow left-arm orthodox",""
"1216149","Ansh Patel","AP Patel","2002-2-19","","Canada","true","all-rounder","right-hand bat","left-arm wrist-spin",""
"1216154","Mahesh Pithiya","MV Pithiya","2001-12-24","","India","false","wk/batsman","right-hand bat","right-arm offbreak",""
"1216159","Harsh Dubey","HS Dubey","2002-7-23","","India","false","all-rounder","left-hand bat","slow left-arm orthodox",""
"1246432","Devang Karamta","DD Karamta","1998-1-24","","India","false","bowler","left-hand bat","left-arm medium-fast",""
"1246438","Rakshan Readdi","C Rakshann Readdi","2000-9-29","","India","false","bowler","right-hand bat","","/db/PICTURES/CMS/314700/314797.jpg"
"1246456","Raj Choudhary","RK Choudhary","1996-5-28","","India","false","all-rounder","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/314700/314748.jpg"
"1246485","Mohammed Kaif","Mohammed Kaif","1996-12-10","","India","false","all-rounder","right-hand bat","right-arm medium-fast",""
"1246521","Bhagmender Lather","BB Lather","1997-6-18","","India","false","wk/batsman","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/314700/314742.png"
"1246531","Chintal Gandhi","CH Gandhi","1994-8-25","","India","false","bowler","left-hand bat","legbreak",""
"1252336","Mohit Avasthi","MA Avasthi","1992-11-18","","India","false","bowler","right-hand bat","right-arm medium-fast",""
"1252366","Lone Nasir","Lone Nasir Muzaffar","1997-9-5","","India","false","all-rounder","right-hand bat","right-arm medium-fast",""
"1252370","Vivrant Sharma","Vivrant Sharma","1999-10-30","","India","false","all-rounder","left-hand bat","legbreak googly",""
"1254269","Aman Hakim Khan","Aman Hakim Khan","1996-11-23","","India","false","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/338100/338165.4.jpg"
"1263691","Rehan Ahmed","Rehan Ahmed","2004-8-13","","England","true","all-rounder","right-hand bat","legbreak googly","/db/PICTURES/CMS/353900/353935.1.png"
"1269869","Gurjapneet Singh","Gurjapneet Singh","1998-11-8","","India","false","bowler","right-hand bat","left-arm medium-fast","/db/PICTURES/CMS/362500/362596.4.jpg"
"1277532","Ravi Kumar","R Ravi Kumar","2003-10-29","","India","false","bowler","left-hand bat","left-arm medium","/db/PICTURES/CMS/345000/345094.2.png"
"1277535","Shashank Singh","Shashank Singh","2003-12-27","","India","false","batsman","","",""
"1277540","Habib Shakir Gandhi","S Habib Gandhi","1999-10-8","","India","false","wk/batsman","right-hand bat","",""
"1287029","Bipin Saurabh","BK Saurabh","1999-11-20","","India","false","wk/batsman","right-hand bat","right-arm medium-fast",""
"1287033","Gurnoor Brar","Gurnoor Brar","2000-5-25","","India","false","bowler","left-hand bat","right-arm fast","/db/PICTURES/CMS/359700/359764.1.png"
"1287034","Prerit Dutta","P Dutta","1998-9-22","","India","false","all-rounder","left-hand bat","slow left-arm orthodox",""
"1287067","Abdul Basith","Abdul Basith","1998-10-9","","India","false","batsman","right-hand bat","right-arm offbreak",""
"1287068","Vaisakh Chandran","Vaisakh Chandran","1996-5-31","","India","false","all-rounder","right-hand bat","right-arm offbreak",""
"1287073","Mohit Redkar","MS Redkar","2000-9-27","","India","false","all-rounder","right-hand bat","right-arm offbreak",""
"1292500","Dinesh Bana","DB Bana","2004-12-15","","India","false","batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/345000/345088.1.png"
"1292502","Raj Angad Bawa","RA Bawa","2002-11-12","","India","false","all-rounder","left-hand bat","right-arm medium-fast","/db/PICTURES/CMS/339100/339156.2.png"
"1292510","Ansh Gosai","AG Gosai","2004-9-30","","India","false","batsman","right-hand bat","right-arm offbreak",""
"1292512","Kaushal Tambe","KS Tambe","2002-10-14","","India","false","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/345000/345099.1.png"
"1292526","Prasad Pawar","PY Pawar","1995-1-31","","India","false","wk/batsman","right-hand bat","",""
"1292543","Manish Reddy","A Manish Reddy","1999-1-7","","India","false","bowler","right-hand bat","right-arm medium-fast",""
"1292553","Sachin Bhosale","SS Bhosale","1998-1-2","","India","false","bowler","left-hand bat","left-arm medium",""
"1294342","Kwena Maphaka","KT Maphaka","2006-4-8","","South Africa","true","bowler","left-hand bat","left-arm medium","/db/PICTURES/CMS/339500/339569.6.png"
"1295845","William Salzmann","W Salzmann","2003-11-19","","Australia","false","wk/batsman","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/366300/366313.1.png"
"1299843","Pukhraj Mann","Pukhraj Mann","2001-6-7","","India","false","batsman","left-hand bat","slow left-arm orthodox",""
"1299879","Ashok Sharma","Ashok Sharma","2002-6-17","","India","false","bowler","right-hand bat","right-arm medium","/db/PICTURES/CMS/341000/341036.1.png"
"1299881","Dev Lakra","Dev Lakra","2003-6-27","","India","false","all-rounder","right-hand bat","right-arm medium",""
"1300795","Akshat Raghuwanshi","Akshat Raghuwanshi","2003-9-15","","India","false","batsman","right-hand bat","right-arm offbreak",""
"1316430","Musheer Khan ","Musheer Khan","2005-2-27","","India","false","all-rounder","right-hand bat","slow left-arm orthodox",""
"1319142","Bhuwan Rohilla","BM Rohilla","2001-10-10","","India","false","bowler","right-hand bat","legbreak",""
"1319154","Jass Inder Singh","J Inder Singh","1996-12-14","","India","false","all-rounder","right-hand bat","right-arm offbreak",""
"1320753","Balu Surya","B Surya","1996-9-19","","India","false","bowler","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/384200/384253.1.png"
"1320758","Guruswamy Ajitesh","G Ajitesh","2002-9-26","","India","false","wk/batsman","right-hand bat","","/db/PICTURES/CMS/362400/362426.4.jpg"
"1320767","Rithik Easwaran","R Easwaran","2002-2-15","","India","false","batsman","left-hand bat","","/db/PICTURES/CMS/362400/362449.4.jpg"
"1326798","Allah Ghazanfar","AM Ghazanfar","2006-3-20","","Afghanistan","true","bowler","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/380600/380676.4.jpg"
"1327735","Monish Reddy","Monish Reddy","2002-11-28","","India","false","bowler","right-hand bat","right-arm medium-fast",""
"1339043","Mustaq Beg","Mustaq Beg","1998-7-15","","India","false","bowler","right-hand bat","legbreak",""
"1339698","Suryansh Shedge","Suryansh Shedge","2003-1-29","","India","false","all-rounder","right-hand bat","",""
"1339708","Gourav Choudhary","Gaurav Chaudhary","1998-10-28","","India","false","wk/batsman","right-hand bat","right-arm offbreak",""
"1349361","Mohit Rathee","Mohit Rathee","1999-1-13","","India","false","all-rounder","right-hand bat","legbreak","/db/PICTURES/CMS/359700/359760.1.png"
"1350763","Basit Bashir","Basit Bashir","2003-2-5","","India","false","bowler","left-hand bat","left-arm fast-medium",""
"1350770","Raghav Goyal","R Goyal","2001-1-26","","India","false","bowler","left-hand bat","left-arm wrist-spin","/db/PICTURES/CMS/359700/359771.1.png"
"1350775","Digvesh Singh","Digvesh Singh","1999-12-15","","India","false","bowler","right-hand bat","right-arm offbreak",""
"1350777","Money Grewal","MS Grewal","2000-10-4","","India","false","bowler","right-hand bat","right-arm medium",""
"1353014","Aarya Desai","Aarya Desai","2003-4-3","","India","false","all-rounder","left-hand bat","right-arm offbreak",""
"1353041","Divij Mehra","DR Mehra","2002-9-25","","India","false","all-rounder","right-hand bat","right-arm medium",""
"1356971","Shamar Joseph","S Joseph","1999-8-31","","West Indies","true","bowler","left-hand bat","right-arm fast","/db/PICTURES/CMS/388400/388426.5.png"
"1378452","Waseem Bashir","Waseem Bashir","2000-1-20","","India","false","bowler","right-hand bat","right-arm medium-fast",""
"1392186","Manvanth Kumar","L Manvanth Kumar","2004-1-11","","India","false","all-rounder","left-hand bat","right-arm fast-medium",""
"1398411","Devendra Singh Bora","DS Bora","2000-12-6","","India","false","bowler","right-hand bat","right-arm medium",""
"1403173","Vineet Dhankhar","V Dhankhar","2004-5-3","","India","false","all-rounder","right-hand bat","legbreak",""
"1403215","Vishu Kashyap","V Kashyap","1997-12-26","","India","false","bowler","right-hand bat","right-arm offbreak",""
"1408673","Saumy Pandey","SK Pandey","2004-11-4","","India","false","all-rounder","left-hand bat","slow left-arm orthodox",""
"1408680","Aaradhya Shukla","A Shukla","2004-12-6","","India","false","all-rounder","right-hand bat","right-arm medium-fast",""
"1408681","Murugan Abhishek","M Abhishek","2004-10-12","","India","false","all-rounder","left-hand bat","right-arm offbreak",""
"1409446","Akhhin Sathar","Akhin Sathar","2002-12-1","","India","false","bowler","right-hand bat","right-arm medium",""
"1410814","Raj Limbani","R Limbani","2005-2-2","","India","false","bowler","left-hand bat","right-arm medium",""
"1412826","Shreyas Gurav","SS Gurav","2000-3-1","","India","false","bowler","right-hand bat","",""
"1412828","Manit Singh","Manit Singh","2003-11-19","","India","false","bowler","right-hand bat","right-arm medium",""
"1412829","Divesh Sharma","Divesh Sharma","2001-4-20","","India","false","bowler","right-hand bat","right-arm medium",""
"1412830","Ganesh Choudhary","Ganesh Chaudhary","2002-10-25","","India","false","bowler","right-hand bat","",""
"1412831","Nitin Verma","Nitin Verma","1994-9-26","","India","false","bowler","right-hand bat","",""
"211748","Benny Howell","BAC Howell","1988-10-5","","England","false","all-rounder","right-hand bat","right-arm medium","/db/PICTURES/CMS/324200/324228.1.png"
"221140","David Wiese","D Wiese","1985-5-18","","Namibia","true","all-rounder","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/322000/322079.1.png"
"230371","Ben Cutting","BCJ Cutting","1987-1-30","","Australia","true","all-rounder","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/321500/321561.1.png"
"232359","Colin Munro","C Munro","1987-3-11","","New Zealand","true","batsman","left-hand bat","right-arm medium-fast","/db/PICTURES/CMS/319700/319772.1.png"
"232364","Tim Southee","TG Southee","1988-12-11","","New Zealand","true","bowler","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/383100/383184.1.png"
"237199","Jalaj Saxena","Jalaj S Saxena","1986-12-15","","India","false","all-rounder","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/151600/151678.jpg"
"244497","Adil Rashid","AU Rashid","1988-2-17","","England","true","bowler","right-hand bat","legbreak","/db/PICTURES/CMS/383100/383151.1.png"
"24790","Tanmay Mishra","T Mishra","1986-12-22","","India","true","batsman","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/321300/321391.1.png"
"265564","Wayne Parnell","WD Parnell","1989-7-30","","South Africa","true","bowler","left-hand bat","left-arm medium-fast","/db/PICTURES/CMS/316600/316608.1.png"
"267192","Steven Smith","SPD Smith","1989-6-2","","Australia","true","batsman","right-hand bat","legbreak googly","/db/PICTURES/CMS/385700/385794.1.png"
"267724","Keshav Maharaj","KA Maharaj","1990-2-7","","South Africa","true","all-rounder","right-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/322000/322072.1.png"
"269280","Reeza Hendricks","RR Hendricks","1989-8-14","","South Africa","true","batsman","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/322000/322071.1.png"
"288284","Josh Hazlewood","JR Hazlewood","1991-1-8","","Australia","true","bowler","left-hand bat","right-arm fast-medium","/db/PICTURES/CMS/386300/386321.5.png"
"288992","Chris Jordan","CJ Jordan","1988-10-4","","England","true","bowler","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/383100/383144.1.png"
"296597","James Vince","JM Vince","1991-3-14","","England","true","batsman","right-hand bat","right-arm medium","/db/PICTURES/CMS/323000/323001.3.png"
"297628","Sam Billings","SW Billings","1991-6-15","","England","true","wk/batsman","right-hand bat","","/db/PICTURES/CMS/322900/322932.1.png"
"310525","Chris Wood","CP Wood","1990-6-27","","England","false","bowler","right-hand bat","left-arm medium-fast","/db/PICTURES/CMS/324200/324236.1.png"
"326017","Siddarth Kaul","S Kaul","1990-5-19","","India","true","bowler","right-hand bat","right-arm medium","/db/PICTURES/CMS/324200/324220.1.png"
"326968","Michael Bracewell","MG Bracewell","1991-2-14","","New Zealand","true","all-rounder","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/383100/383179.1.png"
"327830","Dwaine Pretorius","D Pretorius","1989-3-29","","South Africa","true","all-rounder","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/322000/322077.1.png"
"333066","Johnson Charles","J Charles","1989-1-14","","West Indies","true","wk/batsman","right-hand bat","","/db/PICTURES/CMS/322000/322008.1.png"
"333904","Aditya Tare","AP Tare","1987-11-7","","India","false","wk/batsman","right-hand bat","","/db/PICTURES/CMS/308900/308968.png"
"337790","Rassie van der Dussen","HE van der Dussen","1989-2-7","","South Africa","true","batsman","right-hand bat","legbreak","/db/PICTURES/CMS/322000/322070.1.png"
"340062","Priyank Panchal","PK Panchal","1990-4-9","","India","false","batsman","right-hand bat","right-arm medium",""
