"name","Role","Team"
"Ajay Mandal","all-rounder","CSK"
"Ruturaj Gaikwad","batsman","CSK"
"Mukesh Chowdhary","bowler","CSK"
"Maheesh Theekshana","bowler","CSK"
"Simarjeet Singh","bowler","CSK"
"Rajvardhan Hangargekar","all-rounder","CSK"
"Sameer Rizvi","batsman","CSK"
"Matheesha Pathirana","bowler","CSK"
"Prashant Solanki","bowler","CSK"
"Shaik Rasheed","batsman","CSK"
"Nishant Sindhu","all-rounder","CSK"
"Aravelly Avanish","wk/batsman","CSK"
"Ravindra Jadeja","all-rounder","CSK"
"Ajinkya Rahane","batsman","CSK"
"MS Dhoni","wk/batsman","CSK"
"Mustafizur Rahman","bowler","CSK"
"Devon Conway","batsman","CSK"
"Daryl Mitchell","all-rounder","CSK"
"Deepak Chahar","bowler","CSK"
"Shardul Thakur","all-rounder","CSK"
"Mitchell Santner","all-rounder","CSK"
"Shivam Dube","all-rounder","CSK"
"Tushar Deshpande","bowler","CSK"
"Moeen Ali","all-rounder","CSK"
"Rachin Ravindra","all-rounder","CSK"
