"name","Role","Team"
"Prithvi Shaw","batsman","DD"
"Sumit Kumar","all-rounder","DD"
"Rasikh Salam","bowler","DD"
"Kumar Kushagra","wk/batsman","DD"
"Abishek Porel","wk/batsman","DD"
"Yash Dhull","all-rounder","DD"
"Vicky Ostwal","all-rounder","DD"
"Swastik Chikara","batsman","DD"
"David Warner","batsman","DD"
"Ishant Sharma","bowler","DD"
"Mitchell Marsh","all-rounder","DD"
"Anrich Nortje","bowler","DD"
"Lungi Ngidi","bowler","DD"
"Axar Patel","all-rounder","DD"
"Kuldeep Yadav","bowler","DD"
"Shai Hope","wk/batsman","DD"
"Tristan Stubbs","wk/batsman","DD"
"Ricky Bhui","wk/batsman","DD"
"Jhye Richardson","bowler","DD"
"Praveen Dubey","all-rounder","DD"
"Harry Brook","batsman","DD"
"Mukesh Kumar","bowler","DD"
"Lalit Yadav","all-rounder","DD"
"Rishabh Pant","wk/batsman","DD"
"Khaleel Ahmed","bowler","DD"
