"name","Role","Team"
"R Sai Kishore","bowler","GT"
"Shubman Gill","batsman","GT"
"Darshan Nalkande","all-rounder","GT"
"Sai Sudharsan","all-rounder","GT"
"Noor Ahmad","bowler","GT"
"Matthew Wade","wk/batsman","GT"
"Kane Williamson","batsman","GT"
"Wriddhiman Saha","wk/batsman","GT"
"David Miller","batsman","GT"
"Rahul Tewatia","all-rounder","GT"
"Jayant Yadav","all-rounder","GT"
"Vijay Shankar","all-rounder","GT"
"Mohammed Shami","bowler","GT"
"Mohit Sharma","bowler","GT"
"Abhinav Manohar","batsman","GT"
"Rashid Khan","bowler","GT"
"Josh Little","bowler","GT"
"Kartik Tyagi","bowler","AHM"
"Spencer Johnson","bowler","AHM"
"Manav Suthar","bowler","AHM"
"Sushant Mishra","bowler","AHM"
"Robin Minz","wk/batsman","AHM"
"Umesh Yadav","bowler","AHM"
"M Shahrukh Khan","all-rounder","AHM"
"Azmatullah Omarzai","all-rounder","AHM"
