"name","Role","Team"
"Gus Atkinson","bowler","KKR"
"Ramandeep Singh","all-rounder","KKR"
"Anukul Roy","all-rounder","KKR"
"Varun Chakravarthy","bowler","KKR"
"Chetan Sakariya","bowler","KKR"
"Vaibhav Arora","bowler","KKR"
"Angkrish Raghuvanshi","batsman","KKR"
"Harshit Rana","bowler","KKR"
"Sakib Hussain","bowler","KKR"
"Suyash Sharma","bowler","KKR"
"Sunil Narine","bowler","KKR"
"Andre Russell","all-rounder","KKR"
"Manish Pandey","batsman","KKR"
"Jason Roy","batsman","KKR"
"Mitchell Starc","bowler","KKR"
"KS Bharat","wk/batsman","KKR"
"Nitish Rana","all-rounder","KKR"
"Shreyas Iyer","batsman","KKR"
"Rinku Singh","batsman","KKR"
"Venkatesh Iyer","all-rounder","KKR"
"Sherfane Rutherford","batsman","KKR"
"Rahmanullah Gurbaz","wk/batsman","KKR"
"Mujeeb Ur Rahman","bowler","KKR"
