"name","Role","Team"
"Rahul Chahar","bowler","KXIP"
"Tanay Thyagarajan","all-rounder","KXIP"
"Atharva Taide","all-rounder","KXIP"
"Arshdeep Singh","bowler","KXIP"
"Ashutosh Sharma","all-rounder","KXIP"
"Vidwath Kaverappa","bowler","KXIP"
"Prabhsimran Singh","wk/batsman","KXIP"
"Harpreet Brar","all-rounder","KXIP"
"Vishwanath Singh","all-rounder","KXIP"
"Shivam Singh","all-rounder","KXIP"
"Prince Choudhary","bowler","KXIP"
"Chris Woakes","all-rounder","KXIP"
"Shikhar Dhawan","batsman","KXIP"
"Rishi Dhawan","all-rounder","KXIP"
"Jonny Bairstow","wk/batsman","KXIP"
"Sikandar Raza","all-rounder","KXIP"
"Rilee Rossouw","batsman","KXIP"
"Harpreet Singh","batsman","KXIP"
"Shashank Singh","all-rounder","KXIP"
"Harshal Patel","all-rounder","KXIP"
"Liam Livingstone","all-rounder","KXIP"
"Kagiso Rabada","bowler","KXIP"
"Sam Curran","all-rounder","KXIP"
"Jitesh Sharma","wk/batsman","KXIP"
"Nathan Ellis","bowler","KXIP"
