"name","Role","Team"
"Yash Thakur","bowler","LSG"
"Shivam Mavi","bowler","LSG"
"Devdutt Padikkal","batsman","LSG"
"Mohsin Khan","bowler","LSG"
"Ayush Badoni","all-rounder","LSG"
"Manimaran Sidharth","bowler","LSG"
"Ravi Bishnoi","bowler","LSG"
"Yudhvir Singh","all-rounder","LSG"
"Arshad Khan","all-rounder","LSG"
"Mayank Yadav","bowler","LSG"
"Arshin Kulkarni","all-rounder","LSG"
"David Willey","all-rounder","LSG"
"Amit Mishra","bowler","LSG"
"Marcus Stoinis","all-rounder","LSG"
"Kyle Mayers","all-rounder","LSG"
"Mark Wood","bowler","LSG"
"Quinton de Kock","wk/batsman","LSG"
"KL Rahul","wk/batsman","LSG"
"K Gowtham","all-rounder","LSG"
"Krunal Pandya","all-rounder","LSG"
"Deepak Hooda","all-rounder","LSG"
"Ashton Turner","batsman","LSG"
"Nicholas Pooran","wk/batsman","LSG"
"Naveen-ul-Haq","bowler","LSG"
"Prerak Mankad","all-rounder","LSG"
