"name","Role","Team"
"Dewald Brevis","batsman","MI"
"Shams Mulani","all-rounder","MI"
"Arjun Tendulkar","all-rounder","MI"
"Nehal Wadhera","all-rounder","MI"
"Kumar Kartikeya","bowler","MI"
"Shivalik Sharma","all-rounder","MI"
"Tilak Varma","all-rounder","MI"
"Anshul Kamboj","all-rounder","MI"
"Akash Madhwal","bowler","MI"
"Naman Dhir","all-rounder","MI"
"Mohammad Nabi","all-rounder","MI"
"Jason Behrendorff","bowler","MI"
"Piyush Chawla","bowler","MI"
"Rohit Sharma","batsman","MI"
"Shreyas Gopal","bowler","MI"
"Suryakumar Yadav","batsman","MI"
"Gerald Coetzee","all-rounder","MI"
"Hardik Pandya","all-rounder","MI"
"Jasprit Bumrah","bowler","MI"
"Romario Shepherd","all-rounder","MI"
"Ishan Kishan","wk/batsman","MI"
"Vishnu Vinod","wk/batsman","MI"
"Dilshan Madushanka","bowler","MI"
"Tim David","all-rounder","MI"
"Nuwan Thushara","bowler","MI"
