"name","Role","Team"
"Subhranshu Senapati","batsman",""
"Lalit Yadav","bowler",""
"Kamlesh Nagarkoti","all-rounder",""
"Shiva Singh","bowler",""
"Harvik Desai","wk/batsman",""
"Izharulhaq Naveed","bowler",""
"Alick Athanaze","batsman",""
"Ravi Teja","all-rounder",""
"Rohan Kunnummal","batsman",""
"Sairaj Patil","all-rounder",""
"Shubham Agarwal","bowler",""
"Akash Sengupta","all-rounder",""
"Sahil Dhiwan","all-rounder",""
"Utkarsh Singh","all-rounder",""
"KM Asif","bowler",""
"Kulwant Khejroliya","bowler",""
"Rohit Rayudu","all-rounder",""
"Jasmer Dhankhar","bowler",""
"Pradosh Ranjan Paul","all-rounder",""
"Waqar Salamkheil","bowler",""
"Shubhang Hegde","all-rounder",""
"Prithvi Raj","bowler",""
"Lance Morris","bowler",""
"Tanush Kotian","all-rounder",""
"Ninad Rathva","all-rounder",""
"Shubham Kapse","bowler",""
"Pankaj Yadav","bowler",""
"Urvil Patel","wk/batsman",""
"Sudhesan Midhun","bowler",""
"Mukhtar Hussain","bowler",""
"Abhilash Shetty","bowler",""
"Arpit Guleria","bowler",""
"Bhupen Lalwani","batsman",""
"Jake Fraser-McGurk","all-rounder",""
"Ankit Kumar","batsman",""
"Avneesh Sudha","wk/batsman",""
"Hrithik Shokeen","all-rounder",""
"Azim Kazi","batsman",""
"Priyansh Arya","batsman",""
"Atharva Ankolekar","all-rounder",""
"Mujtaba Yousuf","bowler",""
"Shivam Sharma","bowler",""
"M Venkatesh","bowler",""
"LR Chethan","wk/batsman",""
"Abhimanyusingh Rajput","all-rounder",""
"Saurabh Dubey","bowler",""
"Kuldip Yadav","bowler",""
"Ashwani Kumar","bowler",""
"Arslan Khan","all-rounder",""
"Matthew Forde","all-rounder",""
"Jitender Pal","all-rounder",""
"Sudip Kumar Gharami","batsman",""
"William O'Rourke","bowler",""
"Rahul Buddhi","all-rounder",""
"Atal Bihari Rai","all-rounder",""
"Anikethreddy","all-rounder",""
"Ansh Patel","all-rounder",""
"Mahesh Pithiya","wk/batsman",""
"Harsh Dubey","all-rounder",""
"Devang Karamta","bowler",""
"Rakshan Readdi","bowler",""
"Raj Choudhary","all-rounder",""
