"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","basePrice","Batting Style","Bowling Style","ImageUrl"
"1070168","Prithvi Shaw","PP Shaw","1999-11-9","DD","India","true","batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/322600/322622.1.png"
"1159734","Sumit Kumar","Sumit Kumar","1995-12-12","DD","India","false","all-rounder","2000000","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/380600/380669.1.png"
"1161489","Rasikh Salam","Rasikh Salam","2000-4-5","DD","India","false","bowler","2000000","right-hand bat","right-arm medium","/db/PICTURES/CMS/341000/341040.1.png"
"1207295","Kumar Kushagra","K Kushagra","2004-10-23","DD","India","false","wk/batsman","2000000","right-hand bat","","/db/PICTURES/CMS/378100/378131.1.png"
"1277545","Abishek Porel","Abishek Porel","2002-10-17","DD","India","false","wk/batsman","","left-hand bat","","/db/PICTURES/CMS/380600/380667.1.png"
"1292498","Yash Dhull","YV Dhull","2002-11-11","DD","India","false","all-rounder","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/339100/339162.1.png"
"1292520","Vicky Ostwal","VK Ostwal","2002-9-1","DD","India","false","all-rounder","","right-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/339100/339161.1.png"
"1403198","Swastik Chikara","SS Chikara","2005-4-3","DD","India","false","batsman","2000000","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/380600/380668.1.png"
"219889","David Warner","DA Warner","1986-10-27","DD","Australia","true","batsman","","left-hand bat","legbreak","/db/PICTURES/CMS/316500/316589.1.png"
"236779","Ishant Sharma","I Sharma","1988-9-2","DD","India","true","bowler","","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/316600/316602.3.png"
"272450","Mitchell Marsh","MR Marsh","1991-10-20","DD","Australia","true","all-rounder","","right-hand bat","right-arm medium","/db/PICTURES/CMS/385700/385798.1.png"
"481979","Anrich Nortje","A Nortje","1993-11-16","DD","South Africa","true","bowler","","right-hand bat","right-arm fast","/db/PICTURES/CMS/322000/322080.1.png"
"542023","Lungi Ngidi","L Ngidi","1996-3-29","DD","South Africa","true","bowler","","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/322000/322069.1.png"
"554691","Axar Patel","AR Patel","1994-1-20","DD","India","true","all-rounder","","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/331100/331164.2.png"
"559235","Kuldeep Yadav","Kuldeep Yadav","1994-12-14","DD","India","true","bowler","","left-hand bat","left-arm wrist-spin","/db/PICTURES/CMS/319900/319943.2.png"
"581379","Shai Hope","SD Hope","1993-11-10","DD","West Indies","true","wk/batsman","7500000","right-hand bat","","/db/PICTURES/CMS/320100/320122.1.png"
"595978","Tristan Stubbs","T Stubbs","2000-8-14","DD","South Africa","true","wk/batsman","5000000","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/348500/348577.1.png"
"642531","Ricky Bhui","RK Bhui","1996-9-29","DD","India","false","wk/batsman","2000000","right-hand bat","legbreak googly","/db/PICTURES/CMS/314800/314834.jpg"
"774223","Jhye Richardson","JA Richardson","1996-9-20","DD","Australia","true","bowler","15000000","right-hand bat","right-arm fast","/db/PICTURES/CMS/321500/321591.3.png"
"777515","Praveen Dubey","P Dubey","1993-7-1","DD","India","false","all-rounder","","right-hand bat","legbreak googly","/db/PICTURES/CMS/310700/310753.jpg"
"911707","Harry Brook","HC Brook","1999-2-22","DD","England","true","batsman","20000000","right-hand bat","right-arm medium","/db/PICTURES/CMS/383100/383145.1.png"
"926851","Mukesh Kumar","Mukesh Kumar","1993-10-12","DD","India","true","bowler","","right-hand bat","right-arm medium","/db/PICTURES/CMS/373900/373907.1.png"
"930189","Lalit Yadav","Lalit Yadav","1997-1-3","DD","India","false","all-rounder","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/386300/386337.5.png"
"931581","Rishabh Pant","RR Pant","1997-10-4","DD","India","true","wk/batsman","","left-hand bat","","/db/PICTURES/CMS/323000/323036.1.png"
"942645","Khaleel Ahmed","KK Ahmed","1997-12-5","DD","India","true","bowler","","right-hand bat","left-arm fast-medium","/db/PICTURES/CMS/322200/322268.1.png"
