"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","basePrice","Batting Style","Bowling Style","ImageUrl"
"1039481","Gus Atkinson","AAP Atkinson","1998-1-19","KKR","England","true","bowler","10000000","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/387400/387416.5.png"
"1079470","Ramandeep Singh","Ramandeep Singh","1997-4-13","KKR","India","false","all-rounder","2000000","right-hand bat","right-arm medium","/db/PICTURES/CMS/380600/380670.5.png"
"1079839","Anukul Roy","AS Roy","1998-11-30","KKR","India","false","all-rounder","","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/341000/341041.1.png"
"1108375","Varun Chakravarthy","CV Varun","1991-8-29","KKR","India","true","bowler","","right-hand bat","legbreak googly","/db/PICTURES/CMS/331100/331167.1.png"
"1131754","Chetan Sakariya","C Sakariya","1998-2-28","KKR","India","true","bowler","5000000","left-hand bat","left-arm medium-fast","/db/PICTURES/CMS/380600/380674.5.png"
"1209292","Vaibhav Arora","VG Arora","1997-12-14","KKR","India","false","bowler","","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/389500/389547.5.png"
"1292495","Angkrish Raghuvanshi","A Raghuvanshi","2004-6-5","KKR","India","false","batsman","2000000","right-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/345000/345093.1.png"
"1312645","Harshit Rana","Harshit Rana","2001-12-22","KKR","India","false","bowler","","right-hand bat","right-arm fast","/db/PICTURES/CMS/358000/358042.3.png"
"1340422","Sakib Hussain","Sakib Hussain","2004-12-14","KKR","India","false","bowler","2000000","right-hand bat","right-arm medium","/db/PICTURES/CMS/387600/387604.1.png"
"1350792","Suyash Sharma","Suyash Sharma","2003-5-15","KKR","India","false","bowler","","right-hand bat","legbreak googly","/db/PICTURES/CMS/358000/358041.1.png"
"230558","Sunil Narine","SP Narine","1988-5-26","KKR","West Indies","true","bowler","","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/320100/320119.1.png"
"276298","Andre Russell","AD Russell","1988-4-29","KKR","West Indies","true","all-rounder","","right-hand bat","right-arm fast","/db/PICTURES/CMS/316600/316615.1.png"
"290630","Manish Pandey","MK Pandey","1989-9-10","KKR","India","true","batsman","5000000","right-hand bat","right-arm medium","/db/PICTURES/CMS/323000/323052.1.png"
"298438","Jason Roy","JJ Roy","1990-7-21","KKR","England","true","batsman","","right-hand bat","","/db/PICTURES/CMS/319700/319791.1.png"
"311592","Mitchell Starc","MA Starc","1990-1-30","KKR","Australia","true","bowler","20000000","left-hand bat","left-arm fast","/db/PICTURES/CMS/386300/386322.5.png"
"529436","KS Bharat","KS Bharat","1993-10-3","KKR","India","true","wk/batsman","5000000","right-hand bat","","/db/PICTURES/CMS/314800/314851.png"
"604527","Nitish Rana","N Rana","1993-12-27","KKR","India","true","all-rounder","","left-hand bat","right-arm medium","/db/PICTURES/CMS/323000/323054.1.png"
"642519","Shreyas Iyer","SS Iyer","1994-12-6","KKR","India","true","batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/323000/323035.1.png"
"723105","Rinku Singh","RK Singh","1997-10-12","KKR","India","true","batsman","","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/341000/341043.1.png"
"851403","Venkatesh Iyer","VR Iyer","1994-12-25","KKR","India","true","all-rounder","","left-hand bat","right-arm medium","/db/PICTURES/CMS/337100/337187.1.png"
"914541","Sherfane Rutherford","SE Rutherford","1998-8-15","KKR","West Indies","true","batsman","15000000","left-hand bat","right-arm fast-medium","/db/PICTURES/CMS/322100/322173.1.png"
"974087","Rahmanullah Gurbaz","Rahmanullah Gurbaz","2001-11-28","KKR","Afghanistan","true","wk/batsman","","right-hand bat","right-arm medium","/db/PICTURES/CMS/383200/383237.1.png"
"974109","Mujeeb Ur Rahman","Mujeeb Ur Rahman","2001-3-28","KKR","Afghanistan","true","bowler","20000000","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/383200/383240.1.png"
