"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","basePrice","Batting Style","Bowling Style","ImageUrl"
"1064812","Rahul Chahar","RD Chahar","1999-8-4","KXIP","India","true","bowler","","right-hand bat","legbreak googly","/db/PICTURES/CMS/331100/331166.1.png"
"1080008","Tanay Thyagarajan","T Thyagarajan","1995-11-15","KXIP","India","false","all-rounder","2000000","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/381300/381375.1.png"
"1125958","Atharva Taide","A Taide","2000-4-26","KXIP","India","false","all-rounder","","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/358000/358044.1.png"
"1125976","Arshdeep Singh","Arshdeep Singh","1999-2-5","KXIP","India","true","bowler","","left-hand bat","left-arm medium-fast","/db/PICTURES/CMS/386300/386328.5.png"
"1131978","Ashutosh Sharma","AR Sharma","1998-9-15","KXIP","India","false","all-rounder","2000000","right-hand bat","","/db/PICTURES/CMS/380600/380694.1.png"
"1155262","Vidwath Kaverappa","V Kaverappa","1999-2-25","KXIP","India","false","bowler","","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/381300/381371.3.png"
"1161024","Prabhsimran Singh","Prabhsimran Singh","2000-8-10","KXIP","India","false","wk/batsman","","right-hand bat","","/db/PICTURES/CMS/358000/358040.1.png"
"1168641","Harpreet Brar","Harpreet Brar","1995-9-16","KXIP","India","false","all-rounder","","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/381300/381368.1.png"
"1354639","Vishwanath Singh","VP Singh","1998-6-18","KXIP","India","false","all-rounder","2000000","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/381300/381379.1.png"
"1380113","Shivam Singh","Shivam Singh","1995-11-25","KXIP","India","false","all-rounder","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/381300/381366.3.png"
"1412827","Prince Choudhary","Prince Choudhary","1999-9-29","KXIP","India","false","bowler","2000000","right-hand bat","legbreak","/db/PICTURES/CMS/381300/381376.1.png"
"247235","Chris Woakes","CR Woakes","1989-3-2","KXIP","England","true","all-rounder","20000000","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/316600/316603.1.png"
"28235","Shikhar Dhawan","S Dhawan","1985-12-5","KXIP","India","true","batsman","","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/316500/316524.2.png"
"290727","Rishi Dhawan","R Dhawan","1990-2-19","KXIP","India","true","all-rounder","","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/380600/380692.1.png"
"297433","Jonny Bairstow","JM Bairstow","1989-9-26","KXIP","England","true","wk/batsman","","right-hand bat","right-arm medium","/db/PICTURES/CMS/383100/383157.1.png"
"299572","Sikandar Raza","Sikandar Raza","1986-4-24","KXIP","Zimbabwe","true","all-rounder","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/316600/316632.png"
"318845","Rilee Rossouw","RR Rossouw","1989-10-9","KXIP","South Africa","true","batsman","20000000","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/316600/316651.1.png"
"340854","Harpreet Singh","Harpreet Singh","1991-8-11","KXIP","India","false","batsman","","left-hand bat","right-arm medium","/db/PICTURES/CMS/380600/380687.1.png"
"377534","Shashank Singh","Shashank Singh","1991-11-21","KXIP","India","false","all-rounder","2000000","right-hand bat","right-arm medium","/db/PICTURES/CMS/380600/380696.1.png"
"390481","Harshal Patel","HV Patel","1990-11-23","KXIP","India","true","all-rounder","20000000","right-hand bat","right-arm medium","/db/PICTURES/CMS/381300/381372.1.png"
"403902","Liam Livingstone","LS Livingstone","1993-8-4","KXIP","England","true","all-rounder","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/383100/383152.1.png"
"550215","Kagiso Rabada","K Rabada","1995-5-25","KXIP","South Africa","true","bowler","","left-hand bat","right-arm fast","/db/PICTURES/CMS/320300/320376.1.png"
"662973","Sam Curran","SM Curran","1998-6-3","KXIP","England","true","all-rounder","","left-hand bat","left-arm medium-fast","/db/PICTURES/CMS/383100/383153.1.png"
"721867","Jitesh Sharma","JM Sharma","1993-10-22","KXIP","India","true","wk/batsman","","right-hand bat","","/db/PICTURES/CMS/380600/380690.1.png"
"826915","Nathan Ellis","NT Ellis","1994-9-22","KXIP","Australia","true","bowler","","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/329700/329711.2.png"
