"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","basePrice","Batting Style","Bowling Style","ImageUrl"
"1057399","Manoj Bhandage","MS Bhandage","1998-10-5","RCB","India","false","all-rounder","","left-hand bat","right-arm medium-fast","/db/PICTURES/CMS/359700/359766.1.png"
"1076713","Cameron Green","C Green","1999-6-3","RCB","Australia","true","all-rounder","","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/321500/321569.2.png"
"1083851","Suyash Prabhudessai","SS Prabhudessai","1997-12-6","RCB","India","false","all-rounder","","right-hand bat","right-arm medium","/db/PICTURES/CMS/359700/359758.1.png"
"1123073","Anuj Rawat","Anuj Rawat","1999-10-17","RCB","India","false","wk/batsman","","left-hand bat","","/db/PICTURES/CMS/359700/359757.1.png"
"1159720","Yash Dayal","Yash Dayal","1997-12-13","RCB","India","false","bowler","2000000","right-hand bat","left-arm medium-fast","/db/PICTURES/CMS/387500/387586.4.png"
"1176959","Akash Deep","Akash Deep","1996-12-15","RCB","India","true","bowler","","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/356800/356814.1.png"
"1287369","Saurav Chauhan","SD Chauhan","2000-5-27","RCB","India","false","batsman","2000000","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/380600/380688.1.png"
"1339027","Rajan Kumar","Rajan Kumar","1996-7-8","RCB","India","false","bowler","","left-hand bat","left-arm medium-fast","/db/PICTURES/CMS/359700/359762.1.png"
"1350761","Himanshu Sharma","H Sharma","1998-6-6","RCB","India","false","bowler","","right-hand bat","legbreak","/db/PICTURES/CMS/357600/357624.4.jpg"
"232292","Swapnil Singh","Swapnil Singh","1991-1-22","RCB","India","false","all-rounder","2000000","right-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/384200/384254.1.png"
"253802","Virat Kohli","V Kohli","1988-11-5","RCB","India","true","batsman","","right-hand bat","right-arm medium","/db/PICTURES/CMS/316600/316605.3.png"
"30045","Dinesh Karthik","KD Karthik","1985-6-1","RCB","India","true","wk/batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/319900/319934.2.png"
"30288","Karn Sharma","KV Sharma","1987-10-23","RCB","India","true","bowler","","left-hand bat","legbreak googly","/db/PICTURES/CMS/324200/324221.1.png"
"325026","Glenn Maxwell","GJ Maxwell","1988-10-14","RCB","Australia","true","all-rounder","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/389500/389563.5.png"
"44828","Faf du Plessis","F du Plessis","1984-7-13","RCB","South Africa","true","batsman","","right-hand bat","legbreak","/db/PICTURES/CMS/316500/316559.1.png"
"461632","Reece Topley","RJW Topley","1994-2-21","RCB","England","true","bowler","","right-hand bat","left-arm fast-medium","/db/PICTURES/CMS/383100/383150.1.png"
"493773","Lockie Ferguson","LH Ferguson","1991-6-13","RCB","New Zealand","true","bowler","20000000","right-hand bat","right-arm fast","/db/PICTURES/CMS/383100/383174.1.png"
"550235","Tom Curran","TK Curran","1995-3-12","RCB","England","true","all-rounder","15000000","right-hand bat","right-arm fast-medium","/db/PICTURES/CMS/323100/323112.1.png"
"670031","Alzarri Joseph","AS Joseph","1996-11-20","RCB","West Indies","true","bowler","10000000","right-hand bat","right-arm fast","/db/PICTURES/CMS/321900/321943.1.png"
"777815","Vyshak Vijaykumar","V Vyshak","1997-1-31","RCB","India","false","bowler","","right-hand bat","right-arm medium","/db/PICTURES/CMS/378000/378096.1.png"
"823703","Rajat Patidar","RM Patidar","1993-6-1","RCB","India","true","batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/378000/378081.1.png"
"853265","Mahipal Lomror","MK Lomror","1999-11-16","RCB","India","false","all-rounder","","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/315000/315015.jpg"
"897549","Will Jacks","WG Jacks","1998-11-21","RCB","England","true","batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/383100/383155.1.png"
"940973","Mohammed Siraj","Mohammed Siraj","1994-3-13","RCB","India","true","bowler","","right-hand bat","right-arm fast","/db/PICTURES/CMS/322600/322611.1.png"
"942367","Mayank Dagar","MJ Dagar","1996-11-11","RCB","India","false","all-rounder","","right-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/356800/356822.1.png"
