"id","Name","Full Name","DOB","IPL Team","Country","isCapped","Role","basePrice","Batting Style","Bowling Style","ImageUrl"
"1070183","Abhishek Sharma","Abhishek Sharma","2000-9-4","SRH","India","true","all-rounder","","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/358000/358037.1.png"
"1081442","Mayank Markande","M Markande","1997-11-11","SRH","India","true","bowler","","right-hand bat","legbreak","/db/PICTURES/CMS/355400/355403.1.png"
"1132219","Sanvir Singh","Sanvir Singh","1996-10-12","SRH","India","false","all-rounder","","right-hand bat","right-arm medium","/db/PICTURES/CMS/359700/359765.1.png"
"1159711","Shahbaz Ahmed","Shahbaz Ahmed","1994-12-11","SRH","India","true","all-rounder","","left-hand bat","slow left-arm orthodox","/db/PICTURES/CMS/340300/340313.1.png"
"1175458","Akash Singh","Akash Singh","2002-4-26","SRH","India","false","bowler","2000000","right-hand bat","left-arm medium-fast","/db/PICTURES/CMS/315000/315007.jpg"
"1175485","Abdul Samad","Abdul Samad","2001-10-28","SRH","India","false","all-rounder","","right-hand bat","legbreak","/db/PICTURES/CMS/339100/339145.1.png"
"1175496","Nitish Kumar Reddy","K Nitish Kumar Reddy","2003-5-26","SRH","India","true","wk/batsman","","right-hand bat","right-arm medium-fast","/db/PICTURES/CMS/314800/314899.png"
"1246528","Umran Malik","Umran Malik","1999-11-22","SRH","India","true","bowler","","right-hand bat","right-arm fast","/db/PICTURES/CMS/343200/343263.1.png"
"326016","Bhuvneshwar Kumar","B Kumar","1990-2-5","SRH","India","true","bowler","","right-hand bat","right-arm medium","/db/PICTURES/CMS/386300/386325.5.png"
"390484","Jaydev Unadkat","JD Unadkat","1991-10-18","SRH","India","true","bowler","5000000","right-hand bat","left-arm medium","/db/PICTURES/CMS/386300/386332.5.png"
"398438","Mayank Agarwal","MA Agarwal","1991-2-16","SRH","India","true","batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/322600/322626.1.png"
"436757","Heinrich Klaasen","H Klaasen","1991-7-30","SRH","South Africa","true","wk/batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/322000/322073.1.png"
"446763","Rahul Tripathi","RA Tripathi","1991-3-2","SRH","India","true","batsman","","right-hand bat","right-arm medium","/db/PICTURES/CMS/356800/356821.1.png"
"489889","Pat Cummins","PJ Cummins","1993-5-8","SRH","Australia","true","all-rounder","20000000","right-hand bat","right-arm fast","/db/PICTURES/CMS/386300/386324.5.png"
"530011","Travis Head","TM Head","1993-12-29","SRH","Australia","true","batsman","20000000","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/321500/321584.2.png"
"600498","Aiden Markram","AK Markram","1994-10-4","SRH","South Africa","true","batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/322000/322067.1.png"
"696401","Marco Jansen","M Jansen","2000-5-1","SRH","South Africa","true","all-rounder","","right-hand bat","left-arm medium-fast","/db/PICTURES/CMS/366300/366302.1.png"
"719715","Washington Sundar","Washington Sundar","1999-10-5","SRH","India","true","all-rounder","","left-hand bat","right-arm offbreak","/db/PICTURES/CMS/322600/322619.1.png"
"732269","Upendra Yadav","UD Yadav","1996-10-8","SRH","India","false","wk/batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/389900/389973.2.png"
"784379","Wanindu Hasaranga","PW Hasaranga","1997-7-29","SRH","Sri Lanka","true","all-rounder","15000000","right-hand bat","legbreak","/db/PICTURES/CMS/322900/322946.1.png"
"802575","T Natarajan","T Natarajan","1991-4-4","SRH","India","true","bowler","","left-hand bat","left-arm medium","/db/PICTURES/CMS/322600/322699.1.png"
"823509","Glenn Phillips","GD Phillips","1996-12-6","SRH","New Zealand","true","wk/batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/383100/383167.1.png"
"851261","Anmolpreet Singh","Anmolpreet Singh","1998-3-28","SRH","India","false","batsman","","right-hand bat","right-arm offbreak","/db/PICTURES/CMS/358000/358038.1.png"
"919531","Jhathavedh Subramanyan","J Subramanyan","1999-9-16","SRH","India","false","bowler","2000000","right-hand bat","legbreak","/db/PICTURES/CMS/361800/361882.6.png"
"974175","Fazalhaq Farooqi","Fazalhaq Farooqi","2000-9-22","SRH","Afghanistan","true","bowler","","right-hand bat","left-arm fast-medium","/db/PICTURES/CMS/383200/383236.1.png"
